global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
1048,خذل,,3,3,3,38.4,+0.12,,25,-0.4,0.835
1049,عیر,,3,1,1,38.4,-0.18,,12,0.1,0.46
1050,قرح,,3,1,1,38.3,-0.18,,3,-0.3,0.733
1051,قرد,,3,1,3,38.3,-0.18,,5,-0.6,1
1052,قبس,,3,2,3,38.2,-0.00,,57,-0.2,0.654
1053,مور,,3,2,2,38.2,-0.00,,52,1.8,0.192
1054,نحس,,3,3,3,38.1,+0.12,,54,0.4,0.366
1055,خبت,,3,3,2,38.0,+0.12,,22,-0.2,0.62
1056,روغ,,3,1,2,38.0,-0.18,,51,0.5,0.339
1057,رکض,,3,3,2,37.9,+0.12,,21,0.0,0.487
1058,رکم,,3,3,3,37.9,+0.12,,52,0.0,0.494
1059,سربل,,3,1,2,37.8,-0.18,,14,-0.2,0.62
1060,نثر,,3,2,3,37.7,-0.00,,82,1.9,0.21
1061,فرت,,3,2,3,37.7,-0.00,,77,0.4,0.329
1062,فتر,,3,2,3,37.6,-0.00,,43,-0.3,0.739
1063,فتل,,3,1,2,37.6,-0.18,,17,-0.4,0.902
1064,حوج,,3,1,3,37.5,-0.18,,59,-0.1,0.611
1065,فزز,,3,2,1,37.4,-0.00,,17,0.1,0.443
1066,فسح,,3,3,1,37.4,+0.12,,58,2.4,0.183
1067,فجج,,3,2,3,37.3,-0.00,,71,0.2,0.395
1068,نءی,,3,2,3,37.3,-0.00,,41,-0.4,0.79
1069,حفو,,3,3,3,37.2,+0.12,,47,-0.2,0.657
1070,مضغ,,3,1,2,37.2,-0.18,,23,0.1,0.488
1071,حضض,,3,2,3,37.1,-0.00,,107,9.0,0.0648
1072,فقد,,3,2,2,37.0,-0.00,,12,-0.2,0.663
1073,ثلل,,3,1,1,37.0,-0.18,,56,3.4,0.145
1074,لفت,,3,2,3,36.9,-0.00,,15,-0.3,0.739
1075,لفف,,3,3,3,36.9,+0.12,,75,1.1,0.257
1076,لفو,,3,2,3,36.8,-0.00,,37,-0.4,0.834
1077,لقف,,3,1,3,36.7,-0.18,,26,-0.4,0.868
1078,لقم,,3,2,2,36.7,-0.00,,31,0.6,0.271
1079,ءسس,,3,1,1,36.6,-0.18,,9,-0.1,0.629
1080,زجو,,3,2,3,36.6,-0.00,,24,-0.4,0.845
1081,ءزف,,3,2,2,36.5,-0.00,,53,1.7,0.219
1082,ءزر,,3,2,3,36.4,-0.00,,48,-0.3,0.7
1083,ءرب,,2,2,2,36.4,+0.06,,24,-0.3,0.741
1084,ءزز,,2,2,1,36.3,+0.06,,19,0.3,0.404
